source,destination,total
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,GeatJdbSEJpsPkzpFUELs5GyB94z8zwZ8EfZZvUuXTna,641990.482449874
42YzsSvu7YXkCo4vZFf7UAho8wpd9TjR9kys5DSU4KLS,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,641990.482430874
GeatJdbSEJpsPkzpFUELs5GyB94z8zwZ8EfZZvUuXTna,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,641990.482430874
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,HWgVpvZMNqFsjXhthK3rW62hEHPJZ5VoKPQW9evXUkdp,641743.03690382
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,JA15H3RGLNcY75u89y9UaLBzm97D8cCbYD5wPrUvSigc,641743.03690382
HWgVpvZMNqFsjXhthK3rW62hEHPJZ5VoKPQW9evXUkdp,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,641743.03688482
JA15H3RGLNcY75u89y9UaLBzm97D8cCbYD5wPrUvSigc,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,641743.03688482
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2ftTjMvhaewYmVbjXMcFWJ177wA9WNP7XwiP1miHz4UU,640830.4293963499
2ftTjMvhaewYmVbjXMcFWJ177wA9WNP7XwiP1miHz4UU,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,640830.42937735
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,EqWYgpEudTfqbWYRYYk6J7ZVBb6BZAupWacC3YPxjJHg,634284.6337097199
EqWYgpEudTfqbWYRYYk6J7ZVBb6BZAupWacC3YPxjJHg,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,634284.63369072
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,8CtSE36Nzt52ULEjh4LHtGpTfyaTsBmo1q3mWA2zALNz,625789.607043217
8CtSE36Nzt52ULEjh4LHtGpTfyaTsBmo1q3mWA2zALNz,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,625789.607038217
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,J2wo83LmQtarEdu8a5j9EtmNA1XZqbxJLPW9WtGgujmu,625000.0
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,Y8LPqeSPTVTQE85S51P8UwS3VBBkyEBVUqvGULBEH2t,622067.327579448
Y8LPqeSPTVTQE85S51P8UwS3VBBkyEBVUqvGULBEH2t,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,622067.327560448
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,FHfTFqSFkCG8yr2FvQWzWTD7ATwCpg4HEfjcWxCATpj3,615874.0097442538
FHfTFqSFkCG8yr2FvQWzWTD7ATwCpg4HEfjcWxCATpj3,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,615874.009739254
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,8BvzBV77mtnNR9jqix8adrRsF8HtQxkAVARfu3A6b4tB,612546.4127693761
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,EgEoH5oYB5r3M4rv1GWG7o4SE2LQ3E4sCVAMZRysw3dn,612546.4127693761
